Rede,Nome Fantasia,Logradouro,Complemento,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertura,DtFechamento,CodUnidade,Cnpj,Categoria,Classificação,Fonte,Cnes,Latitude,Longitude
Uptime,UNIDADE CAMBUÍ - CENTRO ,Rua Saldanha Marinho 6  ,,Centro,37600000,35,34316541,MG,Cambuí,,,,,Ensino,,,,,
Uptime,UNIDADE CONSELHEIRO LAFAIETE,Praça Barão de Queluz 155  ,,Centro,36400041,31,37611988,MG,Conselheiro Lafaiete,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - CENTRO,Rua Espirito Santo 1025  ,,Centro,30160031,31,32135013,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - FLORESTA,Av. do Contorno 1454  ,,Floresta,30110008,31,34233410,MG,Belo Horizonte,,,,,Ensino,,,,-19.91332,-43.93020
Uptime,UNIDADE CABO FRIO,Avenida Nilo Peçanha 73  Loja 1515,,Centro,28907000,22,26453350,RJ,Cabo Frio,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - FUNCIONÁRIOS,Rua Sergipe 779  ,,Funcionários,30130171,31,32614777,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE ALFENAS,Rua Presidente Artur Bernardes 845  ,,Centro,37130067,35,32974959,MG,Alfenas,,,,,Ensino,,,,,
Uptime,UNIDADE SANTA CRUZ DO SUL,Avenida João Pessoa 984  ,,Santo Inácio,96820066,51,30563053,RS,Santa Cruz do sul,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO LEOPOLDO,Rua Marquês do Herval 965  ,,Centro ,93010200,51,35756426,RS,São Leopoldo,,,,,Ensino,,,,,
Uptime,UNIDADE SAPUCAIA DO SUL,Rua Coronel Serafim Pereira 278  ,,Centro,93220110,51,30342306,RS,Sapucaia do Sul,,,,,Ensino,,,,,
Uptime,UNIDADE CUIABÁ, Avenida Isaac Póvoas  1342  ,,Centro,78045440,65,33210251,MT,Cuiabá,,,,,Ensino,,,,,
